Symbol,ETF Name,Leveraged,Total Assets ($MM),YTD,Avg Volume,Previous Closing Price,1-Day Change
TQQQ,ProShares UltraPro QQQ,3x,"$3,609.15",18.01%,"22,849,256",$43.71,2.34%
SSO,ProShares Ultra S&P 500,2x,"$2,152.59",10.08%,"2,944,724",$102.18,1.47%
FLGE,Credit Suisse FI Large Cap Growth Enhanced ETN,2x,"$1,660.00",12.50%,"7,414",$213.00,1.29%
QLD,ProShares Ultra QQQ,2x,"$1,604.52",11.80%,"2,341,522",$75.12,1.42%
FIHD,UBS AG FI Enhanced Global High Yield ETN,2x,"$1,505.43",7.11%,"33,416",$151.57,1.13%
FAS,Direxion Daily Financial Bull 3X Shares,3x,"$1,464.58",21.02%,"2,109,897",$54.18,1.57%
FIYY,Barclays ETN+ FI Enhanced Global High Yield ETNs Series B,2x,"$1,346.19",7.00%,"24,544",$90.59,1.10%
FBGX,UBS AG FI Enhanced Large Cap Growth ETN,2x,"$1,241.85",12.01%,"5,730",$212.30,1.33%
UPRO,ProShares UltraPro S&P 500,3x,"$1,207.96",15.15%,"7,353,546",$40.05,2.30%
NUGT,Direxion Daily Gold Miners Bull 3X Shares,3x,"$1,176.06",-6.46%,"9,840,706",$16.37,1.30%
SPXL,Direxion Daily S&P 500 Bull 3X Shares,3x,"$1,026.01",15.23%,"7,055,765",$37.91,2.40%
SQQQ,ProShares UltraPro Short QQQ,3x,$926.93,-18.20%,"43,926,468",$13.71,-2.21%
TNA,Direxion Daily Small Cap Bull 3X Shares,3x,$877.69,27.82%,"4,744,203",$53.80,2.69%
SDS,ProShares UltraShort S&P 500,2x,$872.09,-9.86%,"9,341,138",$38.69,-1.50%
UYG,ProShares Ultra Financials,2x,$719.10,13.76%,"111,914",$37.11,0.98%
JNUG,Direxion Daily Junior Gold Miners Index Bull 3x Shares,3x,$686.81,-0.65%,"10,294,473",$9.15,1.10%
FFEU,Barclays ETN+ FI Enhanced Europe 50 ETN Series C,2x,$650.20,4.20%,"25,165",$77.19,0.77%
LABU,Direxion Daily S&P Biotech Bull 3x Shares,3x,$597.65,46.99%,"4,636,462",$48.30,2.40%
TECL,Direxion Daily Technology Bull 3X Shares,3x,$517.95,9.80%,"439,163",$93.33,2.03%
SOXL,Direxion Daily Semiconductor Bull 3x Shares,3x,$506.54,9.49%,"996,830",$91.23,3.46%
UDOW,ProShares UltraPro Dow30,3x,$504.65,13.27%,"1,499,879",$80.77,2.16%
SPXU,ProShares UltraPro Short S&P 500,3x,$458.06,-14.70%,"6,980,939",$39.70,-2.17%
FRLG,GS Finance Large Cap Growth Index-Linked ETN,2x,$451.09,12.04%,"43,262",$92.33,1.05%
FIEE,UBS AG FI Enhanced Europe 50 ETN,2x,$424.04,5.27%,"7,503",$130.96,0.51%
BRZU,Direxion Daily Brazil Bull 3X Shares,3x,$398.62,40.73%,"2,192,924",$35.14,2.39%
ERX,Direxion Daily Energy Bull 3X Shares,3x,$391.74,28.91%,"3,517,841",$19.53,2.90%
YINN,Direxion Daily China 3x Bull Shares,3x,$358.68,14.26%,"3,083,676",$19.87,1.02%
DDM,ProShares Ultra Dow30,2x,$340.94,8.54%,"1,188,394",$41.05,1.31%
SPXS,Direxion Daily S&P 500 Bear 3X Shares,3x,$316.76,-14.58%,"8,215,946",$26.30,-2.30%
QID,ProShares UltraShort QQQ,2x,$290.58,-12.03%,"4,761,397",$41.82,-1.55%
BIB,ProShares Ultra Nasdaq Biotechnology,2x,$274.06,28.53%,"224,556",$54.10,1.81%
FEUL,Credit Suisse FI Enhanced Europe 50 ETN,2x,$272.07,5.03%,"9,197",$74.36,0.68%
TZA,Direxion Daily Small Cap Bear 3X Shares,3x,$267.84,-23.46%,"16,271,159",$11.65,-2.59%
GUSH,Direxion Daily S&P Oil & Gas Exploration & Production Bull 3x Shares,3x,$264.49,56.67%,"4,282,516",$12.22,1.75%
EDC,Direxion Daily Emerging Markets Bull 3X Shares,3x,$249.46,17.44%,"323,744",$73.74,1.29%
ROM,ProShares Ultra Technology,2x,$240.98,8.98%,"98,871",$85.93,1.33%
SDOW,ProShares UltraPro Short Dow30,3x,$189.68,-13.28%,"8,168,056",$16.65,-2.06%
BDCL,UBS E-TRACS 2x Leveraged Wells Fargo Business Development Company ETN,2x,$186.91,12.73%,"153,217",$13.02,0.62%
UWM,ProShares Ultra Russell2000,2x,$160.16,18.13%,"269,116",$61.58,1.68%
CURE,Direxion Daily Healthcare Bull 3x Shares,3x,$154.61,8.36%,"259,719",$51.57,2.77%
FAZ,Direxion Daily Financial Bear 3X Shares,3x,$152.73,-18.57%,"3,962,386",$11.05,-1.60%
RUSL,Direxion Daily Russia Bull 3x Shares,3x,$151.61,26.70%,"127,829",$37.77,2.14%
DXD,ProShares UltraShort Dow 30,2x,$142.22,-8.76%,"1,950,590",$32.30,-1.31%
LABD,Direxion Daily S&P Biotech Bear 3x Shares,3x,$135.76,-37.56%,"2,383,346",$26.71,-2.52%
MVV,ProShares Ultra Midcap 400,2x,$123.64,15.66%,"165,116",$35.16,2.00%
FNGU,BMO REX MicroSectors FANG+ Index 3X Leveraged ETN,3x,$117.37,36.07%,"238,357",$37.46,1.99%
DUST,Direxion Daily Gold Miners Bear 3X Shares,3x,$117.06,5.60%,"2,643,364",$24.14,-1.71%
RXL,ProShares Ultra Health Care,2x,$115.80,8.28%,"25,117",$98.45,1.74%
URTY,ProShares UltraPro Russell2000,3x,$114.19,27.85%,"251,251",$63.39,2.66%
DIG,ProShares Ultra Oil & Gas,2x,$97.31,19.80%,"228,408",$27.95,1.60%
SOXS,Direxion Daily Semiconductor Bear 3x Shares,3x,$95.85,-14.56%,"5,664,140",$11.27,-3.34%
INDL,Direxion Daily India Bull 3x Shares,3x,$84.34,-3.02%,"68,817",$64.94,1.26%
CHAU,Direxion Daily CSI 300 China A Share Bull 2x Shares,2x,$81.74,13.30%,"335,333",$16.36,0.12%
TWM,ProShares Ultra Short Russell 2000,2x,$74.44,-16.15%,"1,518,864",$17.29,-1.76%
MLPQ,ETRACS 2xMonthly Leveraged Alerian MLP Infrastructure Index ETN,2x,$74.11,16.59%,"70,284",$27.20,-0.15%
PPLC,Portfolio+ S&P 500 ETF,1.25x,$69.70,6.61%,"9,735",$34.82,0.78%
EDZ,Direxion Daily Emerging Markets Bear 3X Shares,3x,$69.67,-16.45%,"311,202",$49.91,-1.36%
JDST,Direxion Daily Junior Gold Miners Index Bear 3X Shares,3x,$68.70,-1.81%,"485,437",$49.36,-1.20%
YANG,Direxion Daily China 3x Bear Shares,3x,$67.39,-14.10%,"311,232",$57.27,-0.97%
MIDU,Direxion Daily Mid Cap Bull 3X Shares,3x,$64.62,24.82%,"50,897",$35.00,2.97%
SRTY,ProShares UltraPro Short Russell2000,3x,$56.33,-23.61%,"1,077,329",$30.22,-2.83%
FNGZ,MicroSectors FANG+ Index -2X Inverse Leveraged ETN,2x,$53.16,-21.77%,"1,159",$52.56,-1.17%
CWEB,Direxion Daily CSI China Internet Index Bull 2x Shares,2x,$52.94,17.65%,"98,203",$22.00,1.15%
SMHD,ETRACS Monthly Pay 2xLeveraged US Small Cap High Dividend ETN,2x,$51.51,20.64%,"60,457",$15.84,-0.31%
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares,3x,$49.93,20.13%,"70,748",$35.63,4.70%
