underlying_symbol,avg_spread,tot_volume,num_opt,analysis_date,expiration,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate,put_delta,call_delta,put_strike,call_strike,put_bid,call_bid,garch_forecast,vol_prem
AA,0.07692307692307693,2087,13,2019-02-15,2019-03-15,28.26,0.4330185418088266,0.4683568874706006,0.45103394084669024,0.07427071578238842,0.06973718948400642,23,34,0.1,0.05,0.4188348454686913,0.014183696340135277
AAL,0.04333333333333333,5320,18,2019-02-15,2019-03-15,36.178,0.3357543589767163,0.35821175034281083,0.3471646926571925,0.07269626724719513,0.08715402315000553,31,41,0.11,0.1,0.4566434012097975,-0.12088904223308122
ALLY,0.09999999999999999,33,6,2019-02-15,2019-03-15,26.669999999999998,0.2285523615093466,0.2685460483438349,0.2493523230617557,0.10691322397602576,0.11597838740900979,24,29,0.1,0.05,0.25068094639940575,-0.022128584890059144
AMAT,0.099,5626,20,2019-02-15,2019-03-15,40.641,0.36579741445193686,0.40568601116321973,0.3862569663276289,0.06808967030045421,0.07368577166758022,34,47,0.11,0.07,0.35144562765363946,0.014351786798297406
AMD,0.025294117647058825,21157,17,2019-02-15,2019-03-15,23.184,0.5320119208536581,0.5526642976770998,0.5424364063451682,0.09065326563382703,0.06844685895604363,19,29,0.15,0.08,0.7674581500982538,-0.23544622924459568
ANF,0.05999999999999999,209,14,2019-02-15,2019-03-15,20.889,0.6757138002696396,0.7140040577555393,0.69512262744289,0.05971239281731355,0.08134728037330785,15,27,0.11,0.1,0.5096510731526963,0.16606272711694325
APA,0.07500000000000001,472,8,2019-02-15,2019-03-15,32.75,0.39645851023961404,0.43623203378903275,0.4168199477263114,0.0743501816970813,0.046768852013087614,27.5,40,0.12,0.05,0.3788346648710418,0.017623845368572255
APC,0.05625,2744,8,2019-02-15,2019-03-15,43.691,0.3279620208913567,0.35593557612390475,0.34223473048318653,0.07378479169237817,0.07159735962239677,37.5,50,0.12,0.11,0.41695545119568644,-0.08899343030432977
ATVI,0.07700000000000001,7968,10,2019-02-15,2019-03-15,45.471,0.37663800773838035,0.40803974742325333,0.3926529156585805,0.053737824639445986,0.07941961297889272,37.5,52.5,0.12,0.11,0.39829534398000865,-0.0216573362416283
AXTA,0.09999999999999998,30,6,2019-02-15,2019-03-15,26.535,0.23976893386950468,0.2766934223328277,0.25889031616803615,0.09707863317429266,0.14271642501627535,24,29,0.05,0.1,0.3350732171944147,-0.09530428332491
BBY,0.09199999999999998,483,15,2019-02-15,2019-03-15,59.699000000000005,0.48137884285875243,0.5087185180822548,0.4952373779269073,0.06603652233229806,0.0606202987388198,47.5,72.5,0.27,0.15,0.3717222713442422,0.10965657151451025
BERY,0.09374999999999999,26,8,2019-02-15,2019-03-15,51.655,0.237526959134296,0.2696713456852638,0.254107940646575,0.0670175803680143,0.06552206101300184,45,57.5,0.1,0.05,0.2602418879795583,-0.022714928845262272
BHC,0.08,1441,15,2019-02-15,2019-03-15,25.546,0.5115314599845321,0.547309702783086,0.5297227318675388,0.07562255546745011,0.1257228357003919,20,30,0.14,0.17,0.4841661358019004,0.027365324182631712
BHGE,0.1,3211,7,2019-02-15,2019-03-15,25.675,0.28238270598380466,0.3243664188203068,0.30409995585090643,0.07466393355083634,0.14727051405213593,22,28,0.05,0.1,0.3178884053463533,-0.03550569936254866
BHP,0.0923076923076923,335,13,2019-02-15,2019-03-15,51.38,0.25410461896920766,0.2681833921812368,0.26123886504817895,0.10728491837690646,0.15418748634848028,46,55,0.22,0.23,0.2538444266754136,2.601922937940371e-4
BK,0.08500000000000002,244,4,2019-02-15,2019-03-15,51.93875,0.175845394108468,0.1966692248735743,0.18654809921510188,0.048098661199908355,0.13464394044741168,45,55,0.05,0.15,0.2070720953818518,-0.03122670127338381
BMY,0.07235294117647059,17026,17,2019-02-15,2019-03-15,50.971,0.3604217228266429,0.38546030174817425,0.3731510836840214,0.0768978086169354,0.06798612614794303,45,62.5,0.14,0.15,0.24067224544408972,0.1197494773825532
BOX,0.09230769230769231,1236,13,2019-02-15,2019-03-15,24.285,0.49889125337640244,0.5449412542332781,0.5224238955392527,0.05586501704039759,0.09302319855323227,19,30,0.05,0.1,0.45609811553751706,0.04279313783888539
C,0.05461538461538461,9869,13,2019-02-15,2019-03-15,62.502,0.2537362757392584,0.26807763883904073,0.2610054770225561,0.06378184467841885,0.047545820400613226,55,70,0.14,0.05,0.2432012902343912,0.0105349855048672
CIEN,0.08952380952380952,393,21,2019-02-15,2019-03-15,39.801,0.4358358005957008,0.46833752621800134,0.4523786486699458,0.06455113571614368,0.0906051795512785,32,47,0.13,0.14,0.3791324384577648,0.05670336213793603
CRON,0.06466666666666666,6125,30,2019-02-15,2019-03-15,20.59,1.073979525237728,1.1285045782163539,1.1015794577980125,0.062403445473094066,0.07397576031796232,13,33,0.2,0.15,0.9314186174449779,0.1425609077927501
DAL,0.04142857142857143,1587,7,2019-02-15,2019-03-15,50.36,0.290212114624511,0.3113067389300123,0.30094431144155986,0.09587947087280846,0.09573958169040869,45,55,0.19,0.12,0.3168287647420562,-0.02661665011754516
DWDP,0.03857142857142854,451,7,2019-02-15,2019-03-15,52.442,0.2501116745770918,0.2612839281377068,0.2557588130082983,0.04559145687022781,0.06662099268112703,45,57.5,0.07,0.08,0.36430892589565833,-0.1141972513185665
EPD,0.07500000000000001,340,4,2019-02-15,2019-03-15,28.25625,0.1372131166038474,0.16619013874322197,0.15239193151809646,0.08860350028888986,0.2627112777593435,26,29,0.05,0.15,0.18985902653595316,-0.052645909932105744
EWJ,0.03999999999999999,1192,10,2019-02-15,2019-03-15,53.848,0.13725140785988518,0.1503790764385254,0.1439649533567535,0.07652714028558616,0.12127407458381073,50,56,0.08,0.09,0.16001582272689804,-0.02276441486701286
EWZ,0.050937499999999976,50380,32,2019-02-15,2019-03-15,44.325,0.29990407095784755,0.31518841693035005,0.3076411789277809,0.07429636638479242,0.0712282951052482,38.5,49.5,0.13,0.07,0.3189259448063473,-0.019021873848499737
FEZ,0.05000000000000001,2888,6,2019-02-15,2019-03-15,35.058,0.1583991888229609,0.17577914371358644,0.1673149879485602,0.07292471098689313,0.24941681428261198,32,36,0.05,0.16,0.16724800664630998,-0.008848817823349092
FSLR,0.06999999999999998,1068,13,2019-02-15,2019-03-15,51.086,0.4623620105172428,0.482239800337345,0.4724054687442501,0.0894116819437516,0.0646298435663002,42.5,62.5,0.3,0.16,0.4394379037130613,0.0229241068041815
