underlying_symbol,avg_spread,tot_volume,num_opt,analysis_date,expiration,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate,put_delta,call_delta,put_strike,call_strike,put_bid,call_bid,garch_forecast,vol_prem
AABA,0.0835,1356,20,2019-03-14,2019-03-22,73.56700000000001,0.1914772906566254,0.21686457006659715,0.20456514193206504,0.10023194744938857,0.08029791912617096,70,77,0.1,0.03,0.2693593433653644,-0.07788205270873899
AAL,0.02461538461538461,824,13,2019-03-14,2019-03-22,32.168,0.3187222277871815,0.3366012760382532,0.327783676771895,0.0763466812792597,0.08363566811392631,29.5,34.5,0.06,0.05,0.40068145103622965,-0.08195922324904814
ABBV,0.03576923076923077,1584,26,2019-03-14,2019-03-22,79.98400000000001,0.18305160027819586,0.19682795121853824,0.19006463472368507,0.0807154115161568,0.0729924214284623,76,83,0.1,0.05,0.1933589442989424,-0.01030734402074654
ABT,0.04071428571428571,77,14,2019-03-14,2019-03-22,79.023,0.13979789003608173,0.15486620945377547,0.14752456217376322,0.0656101653334682,0.09468911319321138,75.5,81,0.06,0.05,0.1690990920266159,-0.02930120199053418
AMAT,0.024666666666666674,2100,15,2019-03-14,2019-03-22,38.957,0.2848050678195339,0.3073448531732781,0.2962893732719697,0.08857392708543266,0.06987649168402132,36.5,41.5,0.07,0.04,0.2812137476927344,0.0035913201267995243
AMTD,0.09090909090909091,117,11,2019-03-14,2019-03-22,55.02,0.19881130816737683,0.22595146965921,0.21281447659449834,0.1151987361555532,0.12343993093247246,52.5,57,0.1,0.05,0.23615206740464542,-0.037340759237268595
APC,0.03375,1532,16,2019-03-14,2019-03-22,44.261,0.2975307289658501,0.31586697107553363,0.30683585032992977,0.07365643382695608,0.0747112499922119,41,47.5,0.07,0.06,0.347495437836844,-0.04996470887099391
ATVI,0.040625,1618,16,2019-03-14,2019-03-22,43.356,0.3148702134595085,0.33733668046010257,0.32629686430295174,0.07771483850052052,0.07617893979640239,40,46.5,0.08,0.05,0.38235822431608985,-0.06748801085658135
BK,0.03538461538461538,201,13,2019-03-14,2019-03-22,52.794999999999995,0.15724558768432695,0.17100901203513394,0.16427150855127304,0.09715283415385034,0.08859499020774686,50.5,54.5,0.07,0.04,0.1894247425117437,-0.03217915482741676
C,0.029999999999999995,2072,21,2019-03-14,2019-03-22,64.14,0.20428829493297665,0.21675289418001537,0.21061282556154529,0.072227709773512,0.07203018944671907,60.5,67,0.07,0.05,0.19640189704786548,0.007886397885111168
CGC,0.04281250000000001,3671,32,2019-03-14,2019-03-22,45.433,0.5132375726868209,0.5379127567097556,0.5257199538958687,0.07347678975284788,0.07681813453671149,40,51,0.13,0.1,0.7532581919987865,-0.2400206193119656
COG,0.07,32,5,2019-03-14,2019-03-22,26.09,0.20459583847398827,0.24577043612346036,0.22612227266811885,0.13874633145836335,0.2091836462230655,25,27,0.05,0.1,0.299017706766456,-0.09442186829246774
COP,0.03944444444444444,550,18,2019-03-14,2019-03-22,67.062,0.19984283494289434,0.21875199446539864,0.20951085146192633,0.07614310331690044,0.05836849479383488,63.5,70,0.08,0.04,0.26675384990170603,-0.06691101495881169
CREE,0.09666666666666666,29,18,2019-03-14,2019-03-22,53.591,0.27383547577619305,0.3179634592279044,0.2967209372438599,0.07790322484464696,0.05606429422324061,49.5,57.5,0.08,0.03,0.3992708912409686,-0.12543541546477555
CRON,0.0275,4382,20,2019-03-14,2019-03-22,20.789,0.6685094554397057,0.7059763226973154,0.6874981673508359,0.06317546481198744,0.06906102568374395,17.5,24.5,0.06,0.05,0.8403675394134166,-0.17185808397371083
CSX,0.05437499999999999,395,16,2019-03-14,2019-03-22,73.068,0.17920983642543847,0.19684730913556445,0.18823526314899777,0.0698161085236979,0.0914898830716635,69,75.5,0.07,0.05,0.22996529991900336,-0.050755463493564884
CVS,0.0408695652173913,5617,23,2019-03-14,2019-03-22,55.919,0.24318958937435803,0.2652550225653291,0.2544615917738885,0.07770493206122875,0.0662273451678071,52.5,59.5,0.07,0.05,0.3679238292495304,-0.12473423987517235
CZR,0.07200000000000001,16542,5,2019-03-14,2019-03-22,8.042,0.33705543412481637,0.4436706701562941,0.3939860589094515,0.45311840026069894,0.07702034937440427,8,9.5,0.15,0.01,0.56071454647586,-0.2236591123510437
DAL,0.03470588235294118,4389,17,2019-03-14,2019-03-22,50.975,0.23355773153713916,0.25451401525054057,0.244260719232265,0.08196811566142304,0.07834191181014849,48,53.5,0.07,0.04,0.2717335828772707,-0.03817585134013152
DWDP,0.02941176470588236,368,17,2019-03-14,2019-03-22,55.064,0.22038610042287782,0.2363626602032556,0.22851404814361245,0.08062452164912326,0.05873312145177795,52,58,0.07,0.04,0.2586425537095375,-0.038256453286659664
EA,0.07837209302325582,4991,43,2019-03-14,2019-03-22,98.925,0.3313274924931213,0.35384448836828236,0.34277093607130027,0.07345847818483964,0.08074490060926187,91,107,0.16,0.17,0.41446774634102423,-0.08314025384790291
EWZ,0.022666666666666665,7515,15,2019-03-14,2019-03-22,43.215,0.2611146570947144,0.27546622148457034,0.26838638502043716,0.08329286971385796,0.08806610229134637,40.5,45.5,0.07,0.06,0.2790154528684319,-0.017900795773717504
FSLR,0.06461538461538462,324,26,2019-03-14,2019-03-22,54.456,0.2848220928655335,0.3165158119928427,0.3010862698843897,0.07271531179149715,0.073412784274283,50.5,58.5,0.08,0.07,0.4339002319740291,-0.1490781391084956
GILD,0.03222222222222222,825,18,2019-03-14,2019-03-22,64.822,0.1989690643117015,0.21476071319673576,0.20701552174395593,0.0768538446921323,0.09015342360690459,61.5,67.5,0.07,0.07,0.28076556747022907,-0.08179650315852757
GME,0.0425,1400,4,2019-03-14,2019-03-22,10.9475,0.31002152212390405,0.3617259697721399,0.33686720038289375,0.24587522487847757,0.21063091237541448,10.5,11.5,0.1,0.07,0.5594178143693965,-0.24939629224549248
HES,0.07095238095238095,90,21,2019-03-14,2019-03-22,57.695,0.2901147129287255,0.3180910810420961,0.30442444259310564,0.07906172661713029,0.07305266208930872,53,61.5,0.1,0.05,0.334971725650192,-0.04485701272146653
INTC,0.026470588235294117,2613,17,2019-03-14,2019-03-22,53.45,0.18882809525894265,0.20458447983319922,0.19686398724467233,0.089829702447221,0.08883341599344008,51,55.5,0.07,0.05,0.22708480688509391,-0.03825671162615127
JNPR,0.05,32,4,2019-03-14,2019-03-22,26.73,0.15045850392755258,0.1790791150939189,0.16538907289621405,0.18374834773241355,0.16325286717050336,26,27.5,0.06,0.05,0.27731457146174343,-0.12685606753419085
