underlying_symbol,avg_spread,tot_volume,num_opt,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate,put_delta,call_delta,put_bid,call_bid,garch_forecast,vol_prem
AAL,0.045454545454545456,7273,22,33.559,0.44180738148217213,0.4649773744809506,0.4649773744809506,0.08821957554100646,0.11713303478718895,0.18,0.19,0.5367387406104477,-0.09493135912827555
ADM,0.078125,291,16,43.268,0.2439311270595739,0.2674258255781412,0.2674258255781412,0.10396376074532132,0.09134201778505091,0.16,0.08,0.22784202409902063,0.01608910296055327
ALLY,0.09999999999999999,1204,7,25.87,0.282189506530632,0.3227950930800878,0.3227950930800878,0.11286107353744346,0.17946866689467733,0.1,0.15,0.2546247895179281,0.02756471701270391
AMAT,0.06333333333333334,749,21,34.625,0.4036253194461948,0.4395582959934864,0.4395582959934864,0.11779087939338262,0.10739566209811569,0.25,0.17,0.39638088884910877,0.007244430597086016
AMD,0.030909090909090907,10243,22,20.295,0.7396855184675019,0.7672353730763983,0.7672353730763983,0.11870863835919643,0.08990796659110367,0.28,0.14,0.7451424030389615,-0.0054568845714596526
APA,0.08666666666666667,316,6,31.511,0.3579760588861634,0.3902244564146453,0.3902244564146453,0.1114756397702138,0.08417009943363674,0.18,0.04,0.4282480941042922,-0.0702720352181288
ATVI,0.07583333333333332,6330,12,47.444,0.4449979382308807,0.4751814347358766,0.4751814347358766,0.09721483171645584,0.10586118928974225,0.28,0.2,0.32089803499320557,0.12409990323767511
BBY,0.06699999999999999,391,10,57.914,0.3230022531494501,0.34264163011673393,0.34264163011673393,0.0802457329573314,0.09711939907115785,0.21,0.19,0.38690402185921813,-0.06390176870976805
BHC,0.09166666666666666,1100,12,23.080000000000002,0.4369520812035149,0.4861777356098174,0.4861777356098174,0.09063262941682049,0.11376126762320193,0.13,0.1,0.5402220546497952,-0.1032699734462803
BJ,0.075,77,4,24.51875,0.42831128347914854,0.4673890242613748,0.4673890242613748,0.07299989449582811,0.059774656458279785,0.1,0.05,0.48361744734893386,-0.05530616386978532
BP,0.030666666666666648,1449,15,39.859,0.23451531147286703,0.25049930875022036,0.25049930875022036,0.09224868939664277,0.09606634060905755,0.13,0.09,0.22546083397198982,0.009054477500877206
BX,0.0825,2222,12,32.398,0.28203234517092096,0.31317362843609536,0.31317362843609536,0.08272579261548674,0.0927019779293421,0.1,0.05,0.30936951676675817,-0.027337171595837206
C,0.035,9681,12,62.17,0.26486080500048975,0.2783278717126865,0.2783278717126865,0.0855266204414653,0.09659192111011417,0.22,0.16,0.38234095893611425,-0.1174801539356245
CAG,0.08333333333333334,416,6,21.135,0.28304143762207323,0.3273476373697631,0.3273476373697631,0.06858653096606537,0.1502189944020813,0.05,0.1,0.4156659140574914,-0.1326244764354182
CAH,0.09999999999999996,2953,6,48.275,0.2946524945682382,0.31728603465118616,0.31728603465118616,0.10629854324599763,0.1477042264266436,0.25,0.2,0.2501091894605272,0.04454330510771104
CCL,0.09166666666666666,30,6,53.63,0.20681656023360162,0.22674608109535693,0.22674608109535693,0.06351246820909973,0.10799873382615521,0.1,0.1,0.37303361101604526,-0.16621705078244364
CIEN,0.055454545454545465,185,11,38.138,0.26469502172603526,0.2831801466611258,0.2831801466611258,0.09843660694116652,0.10085732994102459,0.14,0.11,0.4012440858880114,-0.13654906416197615
CMCSA,0.04833333333333332,470,6,35.964999999999996,0.25964917052279773,0.285198944186391,0.285198944186391,0.11901433204623046,0.06287889277148373,0.17,0.05,0.2270994664998919,0.03254970402290583
CSCO,0.02818181818181819,5480,22,44.288,0.28631217774409135,0.2990788413526545,0.2990788413526545,0.0886996896475768,0.08251747454397118,0.17,0.1,0.27360120521976783,0.012710972524323516
CVS,0.051111111111111114,2610,9,63.074,0.24901328294360783,0.26230392580232,0.26230392580232,0.11349229073937761,0.07480171788632234,0.27,0.13,0.2904005506108813,-0.04138726766727349
DAL,0.049999999999999996,1092,14,48.321,0.2833050287030747,0.2994386239349052,0.2994386239349052,0.10255847561089626,0.13248413537486992,0.21,0.21,0.401925929824048,-0.11862090112097329
DOCU,0.1,1370,7,44.910000000000004,0.4148375966385069,0.44066839534845875,0.44066839534845875,0.09325346991984973,0.17767233951903827,0.25,0.4,0.5399110777822896,-0.12507348114378275
DVN,0.03833333333333333,1054,12,26.412,0.38315391226085377,0.4041613568171797,0.4041613568171797,0.116852624579314,0.1223245692202552,0.18,0.13,0.426946108088055,-0.04379219582720123
DWDP,0.07125000000000001,3862,8,57.135999999999996,0.28604697611639024,0.3055776853056937,0.3055776853056937,0.0915382531680411,0.1036164552494988,0.21,0.16,0.3038417088642062,-0.017794732747815956
EBAY,0.06615384615384616,5772,13,30.454,0.3747974327726788,0.4156356303769213,0.4156356303769213,0.08986671113121636,0.1003895015257601,0.15,0.12,0.3053580697426031,0.0694393630300757
EEM,0.031249999999999993,144327,24,41.408,0.18814199565173523,0.19926501607344968,0.19926501607344968,0.08441638553122988,0.11336896092056137,0.09,0.1,0.20533361188870883,-0.0171916162369736
EFA,0.07083333333333333,15094,12,61.54,0.13229899476301676,0.14500127022461065,0.14500127022461065,0.08116416129370196,0.10884279774643446,0.11,0.08,0.16906540206386475,-0.036766407300847986
ENB,0.0875,179,4,35.41875,0.22940831313088625,0.2614489019250913,0.2614489019250913,0.13404852823766822,0.16653826632391366,0.15,0.15,0.2656788749686207,-0.036270561837734444
EPD,0.08333333333333333,189,6,27.315,0.196287779050827,0.23225977319637245,0.23225977319637245,0.12981087833094618,0.13774611676747195,0.1,0.05,0.2203930625151499,-0.02410528346432289
EWJ,0.05600000000000001,122,10,53.558,0.14374971753498517,0.15977534307359853,0.15977534307359853,0.10115822386598228,0.09940726035015163,0.13,0.07,0.18981985656420552,-0.04607013902922036
EWW,0.05166666666666667,4610,12,45.106,0.22025042852695703,0.2395922305208502,0.2395922305208502,0.10195461876235234,0.12770292906042013,0.16,0.13,0.20625251788966856,0.013997910637288474
